Name,Date
Abbat Georg,May 19 1669
Abbitt Robte,Sept 3 1634
Abbot Arthur[junior],May 31 1671 Ipswich
Abbot Georg,Feb 21 1675-6 Andover
Abbot Nehemiah,May 19 1669
Abbot Daniel,Oct 19 1630
Abbot Daniel,May 18 1631
Abbute Georg,Apr 18 1691 Andover
(( John,Apr 18 1691 ((
Abbie Samuel,Mar 22 1689-90 Salem
Abby Jno.[senior],May 7 1685 Reading
(( Sam.,Oct 131680 Wenham
Abell Robte,Oct 19 1630
(( ((,May 18 1631
Adams Alex.,May 10 1648
(( Fardinando,May 13 1640
(( Jerymy,May 61635
(( John,May 30 1690 Braiinree
(( Natha.,May 26 1647
(( Richard,Sept 21635
(( Sam.,May 10 1643
(( Tho.,May 10 1643
(( Willi.,May 22 1639
Addams Abra.,Jan 9 1673-4 Newbury
(( Edw.,May 3 1654
(( Edw.,May 27 1674 Med.
(( Edwd,May 23 1677 Medfleld
(( Eljazr,May 23 1677 ((
(( Jno.,May 22 1666 Cambridge
(( Jno.,Apr 29 1668 ((
(( John,May 15 1690 Boston
(( Joseph,May 18 1653 ((
(( Joseph,May 23 1655
