Lastname,Firstname,Month,Date,Year,City
Abbat,Georg,May,19,1669,
Abbitt,Robte,Sept,3,1634,
Abbot,Arthur jun,May,31,1671,Ipswich
Abbot,Georg,Feb,21,1675-6,Andover
Abbot,Nehemiah,May,19,1669,
Abbot,Daniel,Oct,19,1630,
Abbot,Daniel,May,18,1631,
Abbute,Georg,Apr,18,1691,Andover
Abbute,John,Apr,18,1691,Andover
Abbie,Samuel,Mar,22,1689-90,Salem
Abby,Jno. sen,May,7,1685,Reading
Abby,Sam.,Oct,13,1680,Wenham
Abell,Robte,Oct,19,1630,
Abell,Robte,May,18,1631,
Adams,Alex.,May,10,1648,
Adams,Fardinando,May,13,1640,
Adams,Jerymy,May,6,1635,
Adams,John,May,30,1690,Braiinree
Adams,Natha.,May,26,1647,
Adams,Richard,Sept,2,1635,
Adams,Sam.,May,10,1643,
Adams,Tho.,May,10,1643,
Adams,Willi.,May,22,1639,
Addams,Abra.,Jan,9,1673-4,Newbury
Addams,Edw.,May,3,1654,
Addams,Edw.,May,27,1674,Med.
Addams,Edwd,May,23,1677,Medfleld
Addams,Eljazr,May,23,1677,Medfleld
Addams,Jno.,May,22,1666,Cambridge
Addams,Jno.,Apr,29,1668,Cambridge
Addams,John,May,15,1690,Boston
Addams,Joseph,May,18,1653,Boston
Addams,Joseph,May,23,1655,
Addams,Nathaniel,May,27,1674,Ipswich
Addams,Peeter,May,22,1650,Accom'tcus
Addams,Phillip,Nov,22,1652,
Addams,Wm.,Jan,9,1673-4,Dedham
Addams,Wm.,Oct,2,1678,Sudbury
Addington,Isacck,May,22,1650,
Addington,Isack,Oct,8,1672,Boston
Adger,Tho.,July,22,1674,
Agar,Willm,May,18,1631,
Aires,John,Mar,22,1689-90,
Albey,Benia.,May,18,1642,
Albye,John,May,10,1643,
Albye,John,May,11,1670,
Alcock,Sam.,May,3,1676,Boston
Alcocke,George,Oct,19,1639,
Alcocke,George,May,18,1631,
Alcocke,Jno.,Nov,22,1652,Accom'tcus
Alcocke,Thomas,May,6,1635,
Alcoke,Joseph,Nov,22,1652,Accom'tcus
